PROJECT                                                                   NOISE      SRT     SRT_dev  SLOPE  SLOPE_dev  SRT_train
run-listener15-r-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IA          icra5.250  -5.86   0.26     7.92   2.06       -1
run-listener15-r-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IAG         icra5.250  -1.59   0.21     9.33   1.98       1
run-listener15-r-Mmatrix,unaided-default,quiet,65-Fhzappp-IAD             quiet      -16.10  0.21     9.67   1.91       -14
run-listener15-r-Mmatrix,unaided-default,quiet,65-Fhzappp-IA              quiet      -15.59  0.13     15.08  1.94       -15
run-listener15-r-Mmatrix,unaided-default,quiet,65-Fhzappp-IAG             quiet      -14.79  0.18     11.42  2.02       -14
run-listener16-l-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IAD      icra1      -8.74   0.17     11.58  1.94       -5
run-listener16-l-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IA       icra1      -10.77  0.17     11.83  1.97       -7
run-listener16-l-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IAG      icra1      -9.60   0.17     11.25  1.93       -6
run-listener16-l-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IAD  icra5.250  -11.35  0.40     5.25   2.05       -3
run-listener16-l-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IA   icra5.250  -10.14  0.43     4.67   2.01       -4
run-listener16-l-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IAG  icra5.250  -9.09   0.25     7.83   1.99       -2
run-listener16-l-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IAD      quiet      -39.26  0.16     12.42  1.97       -38
run-listener16-l-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IA       quiet      -39.58  0.12     16.42  1.89       -37
run-listener16-l-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IAG      quiet      -32.54  0.15     12.92  1.94       -32
run-listener16-l-Mmatrix,full,id-default,icra1,65-Fhzappp-IAD             icra1      -16.20  0.16     12.25  1.93       -11
run-listener16-l-Mmatrix,full,id-default,icra1,65-Fhzappp-IA              icra1      -18.56  0.18     10.67  1.96       -15
run-listener16-l-Mmatrix,full,id-default,icra1,65-Fhzappp-IAG             icra1      -16.43  0.16     12.08  1.97       -13
run-listener16-l-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IAD         icra5.250  -16.99  0.23     8.25   1.92       -10
run-listener16-l-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IA          icra5.250  -16.41  0.34     6.08   2.06       -10
run-listener16-l-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IAG         icra5.250  -15.52  0.26     7.92   2.02       -10
run-listener16-l-Mmatrix,full,id-default,quiet,65-Fhzappp-IAD             quiet      -32.91  0.27     7.50   1.98       -29
run-listener16-l-Mmatrix,full,id-default,quiet,65-Fhzappp-IA              quiet      -34.83  0.26     7.83   1.99       -33
run-listener16-l-Mmatrix,full,id-default,quiet,65-Fhzappp-IAG             quiet      -31.83  0.17     11.67  2.02       -29
run-listener16-l-Mmatrix,linear,id-default,icra1,65-Fhzappp-IAD           icra1      -8.78   0.19     10.42  2.01       -6
run-listener16-l-Mmatrix,linear,id-default,icra1,65-Fhzappp-IA            icra1      -11.88  0.20     9.83   2.01       -9
run-listener16-l-Mmatrix,linear,id-default,icra1,65-Fhzappp-IAG           icra1      -11.55  0.16     12.67  1.96       -9
run-listener16-l-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IAD       icra5.250  -11.86  0.36     5.92   2.07       -2
run-listener16-l-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IA        icra5.250  -11.49  0.35     5.83   2.04       -4
run-listener16-l-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IAG       icra5.250  -9.69   0.27     7.58   2.02       -4
run-listener16-l-Mmatrix,linear,id-default,quiet,65-Fhzappp-IAD           quiet      -34.60  0.15     13.33  1.94       -33
run-listener16-l-Mmatrix,linear,id-default,quiet,65-Fhzappp-IA            quiet      -34.66  0.11     17.25  1.88       -34
run-listener16-l-Mmatrix,linear,id-default,quiet,65-Fhzappp-IAG           quiet      -31.34  0.15     14.08  1.95       -31
run-listener16-l-Mmatrix,unaided-default,icra1,65-Fhzappp-IAD             icra1      -9.04   0.13     15.50  1.98       -4
run-listener16-l-Mmatrix,unaided-default,icra1,65-Fhzappp-IA              icra1      -11.25  0.14     13.92  1.98       -8
run-listener16-l-Mmatrix,unaided-default,icra1,65-Fhzappp-IAG             icra1      -10.97  0.17     11.33  1.95       -8
run-listener16-l-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IAD         icra5.250  -11.81  0.25     7.75   1.95       -4
run-listener16-l-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IA          icra5.250  -11.69  0.28     7.25   2.07       -3
run-listener16-l-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IAG         icra5.250  -11.01  0.33     6.08   2.03       -6
run-listener16-l-Mmatrix,unaided-default,quiet,65-Fhzappp-IAD             quiet      -40.60  0.12     16.17  1.88       -38
run-listener16-l-Mmatrix,unaided-default,quiet,65-Fhzappp-IA              quiet      -40.19  0.14     14.58  1.91       -40
run-listener16-l-Mmatrix,unaided-default,quiet,65-Fhzappp-IAG             quiet      -32.70  0.11     16.92  1.84       -31
run-listener17-r-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IAD      icra1      -10.18  0.20     10.17  2.04       -7
run-listener17-r-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IA       icra1      -12.70  0.25     8.33   2.04       -9
run-listener17-r-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IAG      icra1      -11.84  0.27     7.33   2.01       -9
run-listener17-r-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IAD  icra5.250  -12.53  0.41     4.92   2.00       -5
run-listener17-r-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IA   icra5.250  -12.47  0.26     7.83   2.02       -4
run-listener17-r-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IAG  icra5.250  -10.95  0.33     6.25   2.02       -5
run-listener17-r-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IAD      quiet      -39.84  0.16     12.25  1.96       -39
run-listener17-r-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IA       quiet      -39.86  0.13     14.75  1.92       -37
run-listener17-r-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IAG      quiet      -33.43  0.22     9.33   1.98       -31
run-listener17-r-Mmatrix,full,id-default,icra1,65-Fhzappp-IAD             icra1      -17.90  0.21     9.83   2.04       -15
run-listener17-r-Mmatrix,full,id-default,icra1,65-Fhzappp-IA              icra1      -20.15  0.25     7.83   1.99       -17
run-listener17-r-Mmatrix,full,id-default,icra1,65-Fhzappp-IAG             icra1      -18.69  0.17     11.58  2.00       -16
run-listener17-r-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IAD         icra5.250  -17.48  0.25     7.92   1.99       -7
run-listener17-r-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IA          icra5.250  -17.68  0.30     6.75   2.02       -12
run-listener17-r-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IAG         icra5.250  -15.38  0.20     10.08  1.97       -9
run-listener17-r-Mmatrix,full,id-default,quiet,65-Fhzappp-IAD             quiet      -33.64  0.21     9.67   1.98       -31
run-listener17-r-Mmatrix,full,id-default,quiet,65-Fhzappp-IA              quiet      -34.29  0.18     11.50  1.96       -30
run-listener17-r-Mmatrix,full,id-default,quiet,65-Fhzappp-IAG             quiet      -34.04  0.25     8.17   1.97       -34
run-listener17-r-Mmatrix,linear,id-default,icra1,65-Fhzappp-IAD           icra1      -10.91  0.16     12.42  2.02       -8
run-listener17-r-Mmatrix,linear,id-default,icra1,65-Fhzappp-IA            icra1      -12.66  0.20     9.42   1.90       -9
run-listener17-r-Mmatrix,linear,id-default,icra1,65-Fhzappp-IAG           icra1      -12.43  0.16     12.33  1.92       -8
run-listener17-r-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IAD       icra5.250  -12.54  0.30     6.83   2.05       -5
run-listener17-r-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IA        icra5.250  -12.95  0.34     6.08   2.01       -3
run-listener17-r-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IAG       icra5.250  -12.38  0.31     6.42   2.02       -5
run-listener17-r-Mmatrix,linear,id-default,quiet,65-Fhzappp-IAD           quiet      -34.73  0.13     15.25  1.94       -34
run-listener17-r-Mmatrix,linear,id-default,quiet,65-Fhzappp-IA            quiet      -34.23  0.11     17.58  1.86       -33
run-listener17-r-Mmatrix,linear,id-default,quiet,65-Fhzappp-IAG           quiet      -30.24  0.12     15.33  1.89       -29
run-listener17-r-Mmatrix,unaided-default,icra1,65-Fhzappp-IAD             icra1      -11.63  0.16     12.08  1.96       -9
run-listener17-r-Mmatrix,unaided-default,icra1,65-Fhzappp-IA              icra1      -14.06  0.19     10.33  1.99       -11
run-listener17-r-Mmatrix,unaided-default,icra1,65-Fhzappp-IAG             icra1      -13.76  0.19     10.33  1.94       -9
run-listener17-r-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IAD         icra5.250  -15.35  0.40     5.17   2.04       -6
run-listener17-r-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IA          icra5.250  -15.15  0.27     7.67   2.03       -5
run-listener17-r-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IAG         icra5.250  -13.59  0.31     6.58   1.99       -8
run-listener17-r-Mmatrix,unaided-default,quiet,65-Fhzappp-IAD             quiet      -39.47  0.12     16.25  1.92       -38
run-listener17-r-Mmatrix,unaided-default,quiet,65-Fhzappp-IA              quiet      -38.71  0.10     18.42  1.85       -38
run-listener17-r-Mmatrix,unaided-default,quiet,65-Fhzappp-IAG             quiet      -31.69  0.13     15.25  1.94       -31
run-listener18-r-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IAD      icra1      -7.41   0.22     9.25   2.01       -4
run-listener18-r-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IA       icra1      -12.29  0.19     10.83  1.97       -8
run-listener18-r-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IAG      icra1      -11.47  0.16     12.67  1.98       -8
run-listener18-r-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IAD  icra5.250  -10.60  0.21     8.92   1.90       -2
run-listener18-r-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IA   icra5.250  -13.17  0.29     6.83   1.99       -7
run-listener18-r-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IAG  icra5.250  -8.39   0.24     8.50   2.03       -3
run-listener18-r-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IAD      quiet      -36.95  0.18     11.58  2.03       -34
run-listener18-r-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IA       quiet      -38.23  0.13     15.17  1.93       -37
run-listener18-r-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IAG      quiet      -22.83  0.12     16.83  1.95       -22
run-listener18-r-Mmatrix,full,id-default,icra1,65-Fhzappp-IAD             icra1      -14.92  0.20     10.08  1.95       -11
run-listener18-r-Mmatrix,full,id-default,icra1,65-Fhzappp-IA              icra1      -20.36  0.18     11.42  2.00       -17
run-listener18-r-Mmatrix,full,id-default,icra1,65-Fhzappp-IAG             icra1      -18.43  0.16     12.33  1.96       -15
run-listener18-r-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IAD         icra5.250  -16.42  0.30     6.75   2.00       -8
run-listener18-r-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IA          icra5.250  -18.71  0.22     8.75   1.96       -9
run-listener18-r-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IAG         icra5.250  -12.98  0.24     8.33   1.99       -8
run-listener18-r-Mmatrix,full,id-default,quiet,65-Fhzappp-IAD             quiet      -32.42  0.16     12.67  1.97       -29
run-listener18-r-Mmatrix,full,id-default,quiet,65-Fhzappp-IA              quiet      -35.16  0.13     14.50  1.95       -32
run-listener18-r-Mmatrix,full,id-default,quiet,65-Fhzappp-IAG             quiet      -23.69  0.11     17.33  1.88       -21
run-listener18-r-Mmatrix,linear,id-default,icra1,65-Fhzappp-IAD           icra1      -8.20   0.21     9.58   2.01       -5
run-listener18-r-Mmatrix,linear,id-default,icra1,65-Fhzappp-IA            icra1      -12.79  0.21     9.42   1.96       -9
run-listener18-r-Mmatrix,linear,id-default,icra1,65-Fhzappp-IAG           icra1      -11.78  0.19     10.42  1.96       -9
run-listener18-r-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IAD       icra5.250  -11.14  0.49     4.08   2.00       -4
run-listener18-r-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IA        icra5.250  -13.16  0.22     8.92   1.98       -4
run-listener18-r-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IAG       icra5.250  -9.47   0.21     9.67   2.02       -2
run-listener18-r-Mmatrix,linear,id-default,quiet,65-Fhzappp-IAD           quiet      -35.21  0.16     12.08  1.97       -34
run-listener18-r-Mmatrix,linear,id-default,quiet,65-Fhzappp-IA            quiet      -35.65  0.16     12.25  1.97       -35
run-listener18-r-Mmatrix,linear,id-default,quiet,65-Fhzappp-IAG           quiet      -27.65  0.16     12.83  1.98       -27
run-listener18-r-Mmatrix,unaided-default,icra1,65-Fhzappp-IAD             icra1      -8.35   0.19     10.33  1.96       -5
run-listener18-r-Mmatrix,unaided-default,icra1,65-Fhzappp-IA              icra1      -13.77  0.18     10.58  1.91       -9
run-listener18-r-Mmatrix,unaided-default,icra1,65-Fhzappp-IAG             icra1      -11.16  0.15     13.17  2.01       -8
run-listener18-r-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IAD         icra5.250  -12.51  0.33     6.17   2.05       -6
run-listener18-r-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IA          icra5.250  -13.56  0.41     4.92   2.03       -8
run-listener18-r-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IAG         icra5.250  -6.49   0.27     7.42   2.00       -4
run-listener18-r-Mmatrix,unaided-default,quiet,65-Fhzappp-IAD             quiet      -35.40  0.15     13.58  1.99       -32
run-listener18-r-Mmatrix,unaided-default,quiet,65-Fhzappp-IA              quiet      -35.33  0.15     13.17  1.98       -34
run-listener18-r-Mmatrix,unaided-default,quiet,65-Fhzappp-IAG             quiet      -21.66  0.18     11.17  2.01       -20
run-listener19-r-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IAD      icra1      -4.47   0.22     8.92   1.94       -2
run-listener19-r-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IA       icra1      -9.94   0.17     11.50  1.99       -7
run-listener19-r-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IAG      icra1      -9.18   0.16     13.17  1.94       -5
run-listener19-r-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IAD  icra5.250  -6.84   0.49     4.17   2.06       -3
run-listener19-r-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IA   icra5.250  -9.06   0.29     6.92   2.03       -4
run-listener19-r-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IAG  icra5.250  -7.27   0.31     6.58   2.05       -2
run-listener19-r-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IAD      quiet      -30.10  0.21     9.42   2.01       -25
run-listener19-r-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IA       quiet      -37.63  0.33     6.25   2.04       -36
run-listener19-r-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IAG      quiet      -29.17  0.18     11.75  1.99       -27
run-listener19-r-Mmatrix,full,id-default,icra1,65-Fhzappp-IAD             icra1      -12.14  0.21     9.83   2.00       -8
run-listener19-r-Mmatrix,full,id-default,icra1,65-Fhzappp-IA              icra1      -18.15  0.19     10.42  2.00       -15
run-listener19-r-Mmatrix,full,id-default,icra1,65-Fhzappp-IAG             icra1      -17.85  0.17     11.92  2.02       -15
run-listener19-r-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IAD         icra5.250  -11.60  0.24     8.33   2.05       -7
run-listener19-r-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IA          icra5.250  -15.50  0.21     9.58   2.00       -10
run-listener19-r-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IAG         icra5.250  -14.41  0.32     6.50   2.05       -10
run-listener19-r-Mmatrix,full,id-default,quiet,65-Fhzappp-IAD             quiet      -26.95  0.22     9.25   2.02       -22
run-listener19-r-Mmatrix,full,id-default,quiet,65-Fhzappp-IA              quiet      -35.35  0.16     12.00  1.97       -32
run-listener19-r-Mmatrix,full,id-default,quiet,65-Fhzappp-IAG             quiet      -28.24  0.23     9.00   2.01       -26
run-listener19-r-Mmatrix,linear,id-default,icra1,65-Fhzappp-IAD           icra1      -5.45   0.22     9.08   1.98       -2
run-listener19-r-Mmatrix,linear,id-default,icra1,65-Fhzappp-IA            icra1      -12.42  0.19     11.00  2.01       -10
run-listener19-r-Mmatrix,linear,id-default,icra1,65-Fhzappp-IAG           icra1      -11.69  0.16     12.58  1.99       -9
run-listener19-r-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IAD       icra5.250  -8.59   0.32     6.50   2.04       -4
run-listener19-r-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IA        icra5.250  -11.58  0.23     8.42   1.96       -6
run-listener19-r-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IAG       icra5.250  -10.08  0.23     8.50   1.98       -3
run-listener19-r-Mmatrix,linear,id-default,quiet,65-Fhzappp-IAD           quiet      -32.63  0.14     14.33  2.00       -30
run-listener19-r-Mmatrix,linear,id-default,quiet,65-Fhzappp-IA            quiet      -32.84  0.11     17.00  1.90       -32
run-listener19-r-Mmatrix,linear,id-default,quiet,65-Fhzappp-IAG           quiet      -27.49  0.13     14.58  1.92       -27
run-listener19-r-Mmatrix,unaided-default,icra1,65-Fhzappp-IAD             icra1      -5.05   0.20     10.42  1.96       1
run-listener19-r-Mmatrix,unaided-default,icra1,65-Fhzappp-IA              icra1      -9.99   0.18     11.08  1.98       -7
run-listener19-r-Mmatrix,unaided-default,icra1,65-Fhzappp-IAG             icra1      -6.46   0.16     12.75  1.95       -4
run-listener19-r-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IAD         icra5.250  -7.60   0.28     7.25   2.03       -1
run-listener19-r-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IA          icra5.250  -7.24   0.28     7.25   2.01       -2
run-listener19-r-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IAG         icra5.250  -1.08   0.20     10.08  1.94       3
run-listener19-r-Mmatrix,unaided-default,quiet,65-Fhzappp-IAD             quiet      -16.88  0.25     8.42   2.03       -15
run-listener19-r-Mmatrix,unaided-default,quiet,65-Fhzappp-IA              quiet      -14.88  0.11     17.58  1.88       -14
run-listener19-r-Mmatrix,unaided-default,quiet,65-Fhzappp-IAG             quiet      -5.46   0.12     15.58  1.89       -5
run-listener20-l-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IAD      icra1      -10.09  0.22     9.33   2.03       -8
run-listener20-l-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IA       icra1      -12.12  0.24     8.33   1.99       -10
run-listener20-l-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IAG      icra1      -11.39  0.20     10.08  1.98       -8
run-listener20-l-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IAD  icra5.250  -12.35  0.25     8.00   2.01       -6
run-listener20-l-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IA   icra5.250  -12.07  0.39     5.08   2.00       -6
run-listener20-l-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IAG  icra5.250  -8.86   0.23     8.92   2.05       -4
run-listener20-l-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IAD      quiet      -28.94  0.19     10.42  2.02       -28
run-listener20-l-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IA       quiet      -27.76  0.15     13.08  1.89       -26
run-listener20-l-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IAG      quiet      -20.06  0.13     15.08  1.91       -19
run-listener20-l-Mmatrix,full,id-default,icra1,65-Fhzappp-IAD             icra1      -17.89  0.15     12.50  1.93       -13
run-listener20-l-Mmatrix,full,id-default,icra1,65-Fhzappp-IA              icra1      -19.84  0.20     9.92   2.02       -17
run-listener20-l-Mmatrix,full,id-default,icra1,65-Fhzappp-IAG             icra1      -18.25  0.14     13.25  1.91       -15
run-listener20-l-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IAD         icra5.250  -16.90  0.24     8.67   2.00       -11
run-listener20-l-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IA          icra5.250  -17.20  0.27     7.50   2.03       -12
run-listener20-l-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IAG         icra5.250  -13.53  0.18     11.00  1.99       -7
run-listener20-l-Mmatrix,full,id-default,quiet,65-Fhzappp-IAD             quiet      -29.33  0.17     12.08  2.01       -27
run-listener20-l-Mmatrix,full,id-default,quiet,65-Fhzappp-IA              quiet      -27.93  0.13     14.83  1.98       -25
run-listener20-l-Mmatrix,full,id-default,quiet,65-Fhzappp-IAG             quiet      -19.94  0.16     13.00  1.89       -18
run-listener20-l-Mmatrix,linear,id-default,icra1,65-Fhzappp-IAD           icra1      -10.76  0.15     12.75  1.94       -8
run-listener20-l-Mmatrix,linear,id-default,icra1,65-Fhzappp-IA            icra1      -12.80  0.21     9.42   1.97       -10
run-listener20-l-Mmatrix,linear,id-default,icra1,65-Fhzappp-IAG           icra1      -12.06  0.18     11.00  1.97       -9
run-listener20-l-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IAD       icra5.250  -13.16  0.39     5.33   2.06       -4
run-listener20-l-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IA        icra5.250  -12.28  0.27     7.67   2.02       -4
run-listener20-l-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IAG       icra5.250  -9.33   0.23     8.75   2.01       -4
run-listener20-l-Mmatrix,linear,id-default,quiet,65-Fhzappp-IAD           quiet      -30.34  0.14     14.75  1.89       -30
run-listener20-l-Mmatrix,linear,id-default,quiet,65-Fhzappp-IA            quiet      -29.82  0.11     17.25  1.94       -29
run-listener20-l-Mmatrix,linear,id-default,quiet,65-Fhzappp-IAG           quiet      -25.36  0.14     13.58  1.92       -24
run-listener20-l-Mmatrix,unaided-default,icra1,65-Fhzappp-IAD             icra1      -10.99  0.17     11.83  1.98       -6
run-listener20-l-Mmatrix,unaided-default,icra1,65-Fhzappp-IA              icra1      -12.97  0.18     11.17  1.97       -10
run-listener20-l-Mmatrix,unaided-default,icra1,65-Fhzappp-IAG             icra1      -9.74   0.18     11.00  1.92       -8
run-listener20-l-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IAD         icra5.250  -12.29  0.22     9.17   1.99       -5
run-listener20-l-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IA          icra5.250  -11.13  0.20     10.00  1.94       -5
run-listener20-l-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IAG         icra5.250  -6.48   0.24     8.67   2.03       -3
run-listener20-l-Mmatrix,unaided-default,quiet,65-Fhzappp-IAD             quiet      -24.50  0.15     13.25  2.01       -24
run-listener20-l-Mmatrix,unaided-default,quiet,65-Fhzappp-IA              quiet      -23.73  0.12     16.08  1.93       -23
run-listener20-l-Mmatrix,unaided-default,quiet,65-Fhzappp-IAG             quiet      -17.16  0.17     11.75  2.01       -16
run-listener21-l-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IAD      icra1      -3.69   0.25     8.17   1.99       0
run-listener21-l-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IA       icra1      -7.72   0.18     11.25  1.96       -4
run-listener21-l-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IAG      icra1      -5.24   0.20     9.75   1.96       -3
run-listener21-l-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IAD  icra5.250  -5.40   0.27     7.50   2.00       1
run-listener21-l-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IA   icra5.250  -7.32   0.28     7.08   1.98       0
run-listener21-l-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IAG  icra5.250  -3.73   0.47     4.33   2.00       2
run-listener21-l-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IAD      quiet      -29.26  0.26     7.58   1.98       -23
run-listener21-l-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IA       quiet      -32.02  0.25     8.25   1.99       -30
run-listener21-l-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IAG      quiet      -22.21  0.35     5.92   2.06       -21
run-listener21-l-Mmatrix,full,id-default,icra1,65-Fhzappp-IAD             icra1      -11.04  0.18     11.25  1.97       -6
run-listener21-l-Mmatrix,full,id-default,icra1,65-Fhzappp-IA              icra1      -15.42  0.16     12.00  1.89       -12
run-listener21-l-Mmatrix,full,id-default,icra1,65-Fhzappp-IAG             icra1      -13.35  0.22     9.17   1.98       -10
run-listener21-l-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IAD         icra5.250  -11.67  0.25     8.17   2.03       -4
run-listener21-l-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IA          icra5.250  -13.88  0.30     6.75   1.97       -8
run-listener21-l-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IAG         icra5.250  -11.02  0.29     6.83   2.00       -7
run-listener21-l-Mmatrix,full,id-default,quiet,65-Fhzappp-IAD             quiet      -26.53  0.29     7.08   2.00       -23
run-listener21-l-Mmatrix,full,id-default,quiet,65-Fhzappp-IA              quiet      -32.49  0.32     6.58   2.10       -31
run-listener21-l-Mmatrix,full,id-default,quiet,65-Fhzappp-IAG             quiet      -24.93  0.31     6.67   2.04       -24
run-listener21-l-Mmatrix,linear,id-default,icra1,65-Fhzappp-IAD           icra1      -6.85   0.15     13.67  1.97       -2
run-listener21-l-Mmatrix,linear,id-default,icra1,65-Fhzappp-IA            icra1      -9.38   0.18     10.83  1.97       -6
run-listener21-l-Mmatrix,linear,id-default,icra1,65-Fhzappp-IAG           icra1      -8.11   0.19     10.50  1.96       -5
run-listener21-l-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IAD       icra5.250  -7.52   0.29     7.00   2.01       -2
run-listener21-l-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IA        icra5.250  -7.55   0.19     10.67  2.06       -2
run-listener21-l-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IAG       icra5.250  -4.85   0.29     7.25   2.07       0
run-listener21-l-Mmatrix,linear,id-default,quiet,65-Fhzappp-IAD           quiet      -19.79  0.15     13.67  1.99       -17
run-listener21-l-Mmatrix,linear,id-default,quiet,65-Fhzappp-IA            quiet      -20.09  0.14     14.17  1.87       -18
run-listener21-l-Mmatrix,linear,id-default,quiet,65-Fhzappp-IAG           quiet      -14.26  0.12     16.67  1.85       -12
run-listener21-l-Mmatrix,unaided-default,icra1,65-Fhzappp-IAD             icra1      2.67    0.13     14.58  1.95       6
run-listener21-l-Mmatrix,unaided-default,icra1,65-Fhzappp-IA              icra1      3.39    0.12     16.00  1.93       4
run-listener21-l-Mmatrix,unaided-default,icra1,65-Fhzappp-IAG             icra1      10.19   0.12     15.75  1.93       11
run-listener21-l-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IAD         icra5.250  3.89    0.17     12.17  1.94       6
run-listener21-l-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IA          icra5.250  4.34    0.17     12.33  2.00       6
run-listener21-l-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IAG         icra5.250  10.26   0.11     17.33  1.94       11
run-listener21-l-Mmatrix,unaided-default,quiet,65-Fhzappp-IAD             quiet      3.38    0.18     11.08  1.98       5
