PROJECT                                                                   NOISE      SRT     SRT_dev  SLOPE  SLOPE_dev  SRT_train
run-listener03-l-Mmatrix,unaided-default,quiet,65-Fhzappp-IAG             quiet      -45.90  0.19     10.33  2.00       -45
run-listener05-l-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IAD      icra1      -5.39   0.20     9.92   1.95       -1
run-listener05-l-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IA       icra1      -8.24   0.17     11.67  1.99       -5
run-listener05-l-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IAG      icra1      -7.38   0.18     10.83  1.96       -4
run-listener05-l-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IAD  icra5.250  -8.53   0.29     6.92   2.05       0
run-listener05-l-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IA   icra5.250  -10.04  0.44     4.67   2.04       -3
run-listener05-l-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IAG  icra5.250  -6.38   0.24     8.42   2.04       0
run-listener05-l-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IAD      quiet      -30.72  0.40     5.08   2.03       -26
run-listener05-l-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IA       quiet      -34.73  0.47     4.25   2.02       -33
run-listener05-l-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IAG      quiet      -27.83  0.13     14.67  1.84       -26
run-listener05-l-Mmatrix,full,id-default,icra1,65-Fhzappp-IAD             icra1      -13.40  0.19     10.50  1.94       -9
run-listener05-l-Mmatrix,full,id-default,icra1,65-Fhzappp-IA              icra1      -15.92  0.19     10.67  2.05       -13
run-listener05-l-Mmatrix,full,id-default,icra1,65-Fhzappp-IAG             icra1      -15.50  0.22     8.92   2.01       -12
run-listener05-l-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IAD         icra5.250  -14.19  0.32     6.17   2.03       -6
run-listener05-l-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IA          icra5.250  -15.85  0.31     6.50   1.98       -8
run-listener05-l-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IAG         icra5.250  -13.55  0.29     7.08   2.02       -6
run-listener05-l-Mmatrix,full,id-default,quiet,65-Fhzappp-IAD             quiet      -27.71  0.25     8.08   2.02       -26
run-listener05-l-Mmatrix,full,id-default,quiet,65-Fhzappp-IA              quiet      -32.04  0.22     9.17   2.00       -28
run-listener05-l-Mmatrix,full,id-default,quiet,65-Fhzappp-IAG             quiet      -28.41  0.14     13.92  1.96       -26
run-listener05-l-Mmatrix,linear,id-default,icra1,65-Fhzappp-IAD           icra1      -6.58   0.20     10.33  2.06       -3
run-listener05-l-Mmatrix,linear,id-default,icra1,65-Fhzappp-IA            icra1      -8.70   0.18     10.67  1.95       -4
run-listener05-l-Mmatrix,linear,id-default,icra1,65-Fhzappp-IAG           icra1      -7.70   0.26     7.83   2.05       -4
run-listener05-l-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IAD       icra5.250  -8.36   0.32     6.42   2.04       -2
run-listener05-l-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IA        icra5.250  -8.33   0.46     4.50   2.08       -1
run-listener05-l-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IAG       icra5.250  -4.38   0.35     5.67   2.01       3
run-listener05-l-Mmatrix,linear,id-default,quiet,65-Fhzappp-IAD           quiet      -30.49  0.24     8.25   1.98       -29
run-listener05-l-Mmatrix,linear,id-default,quiet,65-Fhzappp-IA            quiet      -31.36  0.17     11.67  1.99       -30
run-listener05-l-Mmatrix,linear,id-default,quiet,65-Fhzappp-IAG           quiet      -32.63  0.16     12.75  1.98       -31
run-listener05-l-Mmatrix,unaided-default,icra1,65-Fhzappp-IAD             icra1      -3.67   0.18     11.17  1.99       1
run-listener05-l-Mmatrix,unaided-default,icra1,65-Fhzappp-IA              icra1      -4.60   0.23     8.83   2.02       -1
run-listener05-l-Mmatrix,unaided-default,icra1,65-Fhzappp-IAG             icra1      -4.00   0.25     8.42   2.02       0
run-listener05-l-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IAD         icra5.250  -0.92   0.34     6.00   2.00       5
run-listener05-l-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IA          icra5.250  -1.47   0.21     9.83   2.00       1
run-listener05-l-Mmatrix,unaided-default,icra5.250,65-Fhzappp-IAG         icra5.250  0.70    0.30     6.67   1.97       6
run-listener05-l-Mmatrix,unaided-default,quiet,65-Fhzappp-IAD             quiet      -12.82  0.29     6.92   2.00       -10
run-listener05-l-Mmatrix,unaided-default,quiet,65-Fhzappp-IA              quiet      -14.80  0.18     10.83  1.97       -14
run-listener05-l-Mmatrix,unaided-default,quiet,65-Fhzappp-IAG             quiet      -15.76  0.24     8.25   2.00       -14
run-listener06-r-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IAD      icra1      -6.36   0.22     9.33   1.99       -3
run-listener06-r-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IA       icra1      -9.62   0.16     12.67  1.97       -7
run-listener06-r-Mmatrix,compressive,id-default,icra1,65-Fhzappp-IAG      icra1      -5.42   0.24     8.67   2.01       -3
run-listener06-r-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IAD  icra5.250  -7.20   0.23     8.50   1.98       -2
run-listener06-r-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IA   icra5.250  -7.18   0.22     9.17   2.00       -1
run-listener06-r-Mmatrix,compressive,id-default,icra5.250,65-Fhzappp-IAG  icra5.250  -1.84   0.27     7.33   2.00       5
run-listener06-r-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IAD      quiet      -26.42  0.21     9.58   2.00       -22
run-listener06-r-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IA       quiet      -25.66  0.18     11.08  1.96       -23
run-listener06-r-Mmatrix,compressive,id-default,quiet,65-Fhzappp-IAG      quiet      -13.59  0.39     5.25   2.05       -12
run-listener06-r-Mmatrix,full,id-default,icra1,65-Fhzappp-IAD             icra1      -13.08  0.15     13.25  1.89       -9
run-listener06-r-Mmatrix,full,id-default,icra1,65-Fhzappp-IA              icra1      -16.17  0.22     9.00   1.97       -13
run-listener06-r-Mmatrix,full,id-default,icra1,65-Fhzappp-IAG             icra1      -13.60  0.35     5.83   2.04       -12
run-listener06-r-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IAD         icra5.250  -13.06  0.25     7.83   1.94       -9
run-listener06-r-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IA          icra5.250  -12.99  0.35     5.92   2.04       -8
run-listener06-r-Mmatrix,full,id-default,icra5.250,65-Fhzappp-IAG         icra5.250  -7.97   0.41     5.00   1.98       -4
run-listener06-r-Mmatrix,full,id-default,quiet,65-Fhzappp-IAD             quiet      -26.39  0.19     10.33  1.97       -22
run-listener06-r-Mmatrix,full,id-default,quiet,65-Fhzappp-IA              quiet      -27.55  0.30     7.00   2.09       -26
run-listener06-r-Mmatrix,full,id-default,quiet,65-Fhzappp-IAG             quiet      -14.81  0.25     8.00   1.99       -12
run-listener06-r-Mmatrix,linear,id-default,icra1,65-Fhzappp-IAD           icra1      -7.90   0.31     6.58   2.03       -4
run-listener06-r-Mmatrix,linear,id-default,icra1,65-Fhzappp-IA            icra1      -10.99  0.15     13.00  1.86       -7
run-listener06-r-Mmatrix,linear,id-default,icra1,65-Fhzappp-IAG           icra1      -8.35   0.25     8.25   2.04       -7
run-listener06-r-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IAD       icra5.250  -9.07   0.30     6.83   2.00       -5
run-listener06-r-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IA        icra5.250  -8.74   0.26     7.58   2.02       -3
run-listener06-r-Mmatrix,linear,id-default,icra5.250,65-Fhzappp-IAG       icra5.250  -4.23   0.23     8.75   2.00       0
run-listener06-r-Mmatrix,linear,id-default,quiet,65-Fhzappp-IAD           quiet      -20.32  0.20     10.00  1.98       -18
run-listener06-r-Mmatrix,linear,id-default,quiet,65-Fhzappp-IA            quiet      -20.64  0.12     16.75  1.96       -20
run-listener06-r-Mmatrix,linear,id-default,quiet,65-Fhzappp-IAG           quiet      -11.25  0.15     13.08  1.94       -11
run-listener06-r-Mmatrix,unaided-default,icra1,65-Fhzappp-IAD             icra1      -5.19   0.20     9.92   2.00       0
run-listener06-r-Mmatrix,unaided-default,icra1,65-Fhzappp-IA              icra1      -7.38   0.23     9.08   2.05       -6
